transaction_id,sender_id,receiver_id,amount,timestamp
TXN_001,USER_A,USER_B,500.00,2023-10-01T10:00:00Z
TXN_002,USER_B,USER_C,500.00,2023-10-01T10:05:00Z
TXN_003,USER_C,USER_A,500.00,2023-10-01T10:10:00Z
TXN_004,USER_D,USER_E,100.00,2023-10-01T11:00:00Z
TXN_005,USER_E,USER_F,95.00,2023-10-01T11:05:00Z
TXN_006,USER_G,USER_H,1000.00,2023-10-01T12:00:00Z
TXN_007,USER_I,USER_J,50.00,2023-10-01T13:00:00Z
TXN_008,USER_A,USER_B,500.00,2023-10-01T10:15:00Z
TXN_009,USER_B,USER_C,500.00,2023-10-01T10:20:00Z
TXN_010,USER_C,USER_A,500.00,2023-10-01T10:25:00Z
